koi_prad,koi_period,koi_steff,koi_srad,label
-0.03333829013512227,-0.049587621944914284,-0.3222113526629216,-0.13340835875433013,1
-0.03314945490094551,-0.01592371733523794,-0.3222113526629216,-0.13340835875433013,1
-0.029250172960137582,-0.04178713859419276,0.18703512494627098,-0.14322622047298456,0
-0.023002045738078323,-0.055395093717108455,0.12561846433008694,-0.1560393620380081,0
-0.03317595809170716,-0.054804208476499014,0.4147885747312868,-0.11360623088111187,1
-0.03279497472450842,-0.04838411857892466,0.43398128117384427,-0.12592015913840726,1
-0.033169332294016744,-0.05359878825853452,0.43398128117384427,-0.12592015913840726,1
-0.0335602543577511,-0.05477349147379207,0.43398128117384427,-0.12592015913840726,1
-0.021097128902084643,-0.05118070427692846,0.6655732722473715,0.038154614668258265,0
-0.032178775539300035,-0.0446571221635686,-0.8647251881058805,-0.1465543091911725,1
-0.029766985179989776,-0.05484540084939205,0.14481117077264447,-0.12725139462568244,1
-0.028753238133356618,-0.05504460897608109,0.9381097037316881,0.03715618805280188,1
-0.029253485858982787,-0.05405727967266452,0.6630142447216972,-0.046212434337806044,1
-0.03370270900809497,-0.05391738360967295,0.16144484968952763,-0.1175999373429374,1
0.015775435245062527,-0.04806409628186359,0.11282332670171527,-0.1465543091911725,0
-0.03170834390328073,-0.04215816709389317,-0.8493710229518345,-0.17451025442395118,0
-0.017757726866116597,-0.04229494115392837,0.5248267583352831,-0.1300802700361422,0
-0.03145656359104504,-0.04435653121742736,-0.7099040228025832,-0.15687138421755512,0
-0.033268719259372935,-0.04974830073050324,-1.0886400966023848,-0.17184778344940085,1
-0.0331428291032551,-0.0521790649446187,-1.4968049869474411,-0.17584148991122636,1
-0.03356356725659631,-0.054676253004872825,-0.9184647661450416,-0.15138003783254503,0
-0.03324221606861129,-0.052688364845730376,-0.6676800686289568,-0.13623723416478986,1
-0.03352381247045383,-0.05374367972390749,-0.6676800686289568,-0.13623723416478986,1
-0.03365632842426208,-0.05062082348069631,-0.6676800686289568,-0.13623723416478986,1
-0.02033847506653238,0.23296447875832302,-0.2096141415332509,-0.02474626210549382,0
-0.03310970011480303,-0.04045508924919932,-0.9632477478443424,-0.14988239790936045,1
-0.03316601939517154,-0.052952679629003595,-0.470634949152033,-0.1467207136270819,1
-0.03332503853974145,-0.05348900230709943,-0.08038325148669699,-0.14938318460163225,1
-0.03258626209726042,-0.055567868729790165,0.00918271191190472,-0.14938318460163225,0
-0.029402566307017073,0.44578230684130116,-0.23904295807850573,-0.1240897103434039,0
